CandidateSLEOP_ID,CandidateSLEOP_UUID,FullName,FirstName,MiddleName,SurName,PoliticalParty,District,"City Council",Locality,Constituency,Ward,"Election Type","Election Year",Profile,CandidatePhoto
1368,c2c298b2-97e0-4d62-91f6-8b939ec09d4c,"Idriss Tarawallie",Idriss,,Tarawallie,NGC,Tonkolili,,,,,"District Chairperson",2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1437,20440f5a-8d16-4e2b-8c47-2d75e9cfa813,"Slyvanus Fannah",Slyvanus,,Fannah,NGC,Moyamba,,,,,"District Chairperson",2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1464,689c0181-d25e-4fb9-a3fa-1d781892cdde,"Ibrahim Mustapha Sannoh",Ibrahim,Mustapha,Sannoh,CDP,Pujehun,,,,,"District Chairperson",2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1508,9f274b6e-a1d3-4d73-8c7e-9e90e6d24e02,"Fouad Bangura",Fouad,,Bangura,PDP,Kambia,,,,,"District Chairperson",2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1556,1bdf101f-50f9-4339-ae69-ac3e8e32e4a1,"Saidu A. Sesay",Saidu,A.,Sesay,APC,Kenema,,,,"Ward 47","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1596,a2b0caef-eaec-403f-a5ae-bb1eed4d045a,"Musa T. Kougbaka",Musa,T.,Kougbaka,IND,Kenema,,,,"Ward 48","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1655,1988a2c8-09cd-4376-8114-b0469285f4ed,"Sidie Marah",Sidie,,Marah,APC,Kenema,,,,"Ward 53","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1870,fb17feff-2110-4b14-9088-3be77aa12442,"Dr. Abdulai Daniel Sesay",Abdulai,Daniel,Sesay,APC,Tonkolili,,,"Constituency 52",,Parliamentary,2018,"He was born on 29th October 1960 in Yoie-Gkolenke, Tonkolili District Northern region of Sierra Leone. Dr.Sesay possesses a Diploma Certificate in clinical midwives Surgery.
Haven spent considerable time rendering clinical services to his people, he decided to compete in the 2012 elections and became a Member of Parliament for Constituency 052 Tonkolili District Northern Region of Sierra Leone under the umbrella of the All peoples Congress (APC) party. During his tenor he contributed effectively and efficiently in decision making in the house of Parliament and because of this he was again choosing by his people as the most outstanding candidate that will represent them well in the house of Parliament. He faced so many challenges but because his people believed in him he emerged as the winner in the 2018 elections.
Honourable Dr. Daniel Abdulai Sesay is the deputy chairman local government and rural development committee and the water resources committee in the house of Parliament.
Honourable Dr. Daniel Abdulai Sesay together with his Constituents identified among other things Community Center, Health Center, and Schools as major priorities in Constituency. Having being an advocate to represent, Legislate and carry out oversight functions in the house of Parliament, he is doing all he could in making sure that major priority needs of his people are solved. ",/sites/default/files/2023-04/052.png
2039,aa27616c-bd64-4cfe-ad73-9d37fc429aba,"Abdul Karim Kamara",Abdul,Karim,Kamara,APC,"Port Loko",,,"Constituency 69",,Parliamentary,2018,"He was born on 3rd June 1976 in Port loko Northern Region of Sierra Leone. He is a Project Manager.He decided to take a challenge by competing as a candidate for the Member of Parliament role in his constituency. Though he was faced with challenges such as intimidation and financial hurdles from his competitors, he was able to stand the test of time and won the parliamentary seat to represent the people of Constituency 069 North West regionin the Sierra Leone House of Parliament in March 2018 under the ticket of the All People’s Congress Party (APC).
He has been a strong advocate for issues affecting his people like Health, Transportation, and Water which he consider as important and has made him  to advocate for the effective utilization of resources in other to cultivate a better employment opportunities for the people in his constituency and Sierra Leone as a whole.
Honourable Abdul Karim Kamara being a strong advocate has establish himself well and therefor has been appointed as a Member of the planning and economic development committee and NaCSA/NGOs committee in the house of Parliament.
The people of Constituency 069 and Honourable Abdul Karim Kamara has identified as their felt needs. He is making sure that better legislations are made to change the lives of the people.",/sites/default/files/2023-04/HON%20ABDUL%20KARIM%20KAMARA%20CONST%200069%20PORT%20LOKO%20DISTRICT%20ID%20NO%2C.JPG.png
2056,93b497c1-b961-439d-986d-77e3d21cd779,"Ibrahim Conteh",Ibrahim,,Conteh,SLPP,"Western Urban",,,"Constituency 132",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2073,cec3ffcc-b905-4f8a-ba79-ac7af908e8de,"Tamba Kombason Moiwo",Tamba,Kombason,Kombason,PMDC,Kono,,,,"Ward 63","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2153,cdf80422-470b-4b5c-a46c-b5f8b05b773a,"Khadijatu Davies",Khadijatu,,Davies,APC,"Western Rural",,,"Constituency 110",,Parliamentary,2018,"Honourable Khadijatu Davies was born on 18th March 1973 Pujehun District, Southern Region of Sierra Leone. She is anEntrepreneur with Masters in Business Administration(MBA).
 HonourableKhadijatu Davies cherished the desire to become a politician as she is with the view that through it she will be able to advocate on issues affecting his people which will help bring positive change on their lives. Based on this, she contested for theMember of Parliament role for Constituency 110 Western Area District WesternArea Rural under the umbrella of the All People’s Congress Party (APC). In the midst of all the challenges from her male competitors; the bullying and financial difficulties, she was able to stand the test of time and won the parliamentary seat to represent her people in the Sierra Leone House ofParliament in March 2018.
The following were identified by honourable Khadijatu Davies asissues affecting people in Sierra Leone especially those living in her constituency. Better and quality educational facilities, improved medical facilities (Hospitals and health centers), Good roads and Job opportunities for youths. She is advocating in the house of Parliament to ensure equal opportunities and resources are managed well to help address these issues.
The motivation and urge she had in politics was not ignored as she established herself as a very strong advocate for issues affecting her people. She was appointedMember of four committees in the house of Parliament; the Fisheries and MarineResources Committee, Tourism Committee and Lands and Environment Committee.
Honourable Khadijatu Davies can be contacted on;
Mobile;+23276-604774",/sites/default/files/2023-05/Hon%20Khadijatu%20Davies%20Const.%20110%20Western%20rural%20id%20no%2C.jpeg
2169,c3d3440d-841e-4f42-8fc4-b6af6e81bb9d,"Abdul Turay",Abdul,,Turay,APC,"Western Rural",,,"Constituency 105",,Parliamentary,2018,"Honourable Abdul Turay was born on 17th April 1968 in Matotoka Western Area Rural District. He is a Para Medic with SCCHN in Nursing and a certificate in Religious Education.
Having rendered clinical services to his people, They were pleased with his performance in the community as he is always there to render help to them. This made them to appoint him to contest for the Member of Parliament role for Constituency 105 in the Western area Urban district. As someone who believes in the ideology and principles of the All People’s Congress Party (APC), he decided to stand under the ticket of the APC and eventually won the Parliamentary seat in March 2018.His resilience desire for equal distribution of Health facilities, Transportation, and Water issues affecting women and children made him an advocate. He is with the view that taking these to his constituency will contribute greatly to a positive change of people living in his constituency and the Sierra Leonean populace as a whole.
Honourable Abdul Turay is a Member of three committees in the house of Parliament.  Legislative Committee, Planning and Economic Development Committee and Trade and Industry Committee.
Through legislative and oversight functions, honourable Abdul Turay is ensuring that factors affecting the standard of living of Sierra Leoneans especially those living in his constituency such as safe and clean Water supply, Sanitation, Solar Lighting, Feeder Road improvement, Micro Enterprise Development for Women’s Empowerment and Cooperative Fishing are addressed.",/sites/default/files/2023-05/HON%20ABDUL%20TURAY%20CONST%20105%20WESTERN%20RURAL%20AREA%20ID%20NO%2C.jpeg
2185,1329fd2f-7adc-4858-9f5d-77a206f4bee4,"Ahmed Joseph Kanu",Ahmed,Joseph,Kanu,SLPP,"Western Rural",,,"Constituency 108",,Parliamentary,2018,,/sites/default/files/2023-05/HON.AHMED%20JOSEPH%20KANU%20CONST.%20108%20WESTERN%20RURAL%20.jpg
2201,67967822-52e6-4641-b2ef-49a6eab4e15a,"Moijue Kaikai",Moijue,,Kaikai,APC,Pujehun,,,"Constituency 103",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2217,c6c2d38a-77c8-46d8-b57a-c1e9bcb1985d,"Dukusamba Conteh",Dukusamba,,Conteh,NGC,"Western Urban",,,"Constituency 118",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2233,e6b813a5-b64b-40e7-bcbb-94fb984dbb70,"Jerry Sevalie",Jerry,,Sevalie,NGC,"Western Urban",,,"Constituency 127",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2250,5a404ba1-54c7-4c6a-97e4-759610628b9c,"Sahr Nyandemoh",Sahr,,Nyandemoh,C4C,"Western Urban",,,"Constituency 121",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2268,cee52dba-db9c-457c-af0d-a0c52a6554a4,"Anthony Kemokai",Anthony,,Kemokai,PMDC,Pujehun,,,"Constituency 101",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2284,09a69c5f-4177-4c6b-bf5f-e273681faa5c,"Kapho William",Kapho,,William,PMDC,"Western Rural",,,"Constituency 110",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2300,2f22a6af-720a-4bd8-8eeb-1e5193a449d9,"Daniel Njawa",Daniel,,Njawa,CDP,"Western Urban",,,"Constituency 117",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2316,9f071931-1bdd-45cf-9f22-a702b657008b,"Modidoh Kuyateh",Modidoh,,Kuyateh,ADP,Pujehun,,,"Constituency 103",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2410,6cd28a1b-5854-41f2-bdd9-d388d9b00eaa,"Ibrahim Aziz Bangura",Ibrahim,Aziz,Bangura,APC,"Port Loko",,,"Constituency 76",,Parliamentary,2018,"He was born on 29th January 1982 in Mahera, Lungi, Port Loko district, Honourable Ibrahim Aziz Bangura is an Accountant and a Customs Broker. He obtained a Certificate in Population Analysis and Social Statistics at the Fourah bay College (FBC) in 2005.
In 2006, he again enrolled at the Fourah Bay College, where he obtained a Bachelor of Science (Hons) degree in Accounting and Finance in 2010. His academic career did not stop there, as Honourable Ibrahim Aziz Bangura opted to go in for his Masters programme in the same University and obtained a Masters degree in Accounting and Finance in 2016.  In 2017 he obtained a License Customs Broker Certificate from the National Revenue Authority (NRA).
Honourable Ibrahim Aziz Bangura was elected Member of Parliament for Constituency 076 under the All People’s Congress (APC) Party in March 2018, to serve as a Representative in the House of Parliament.
He is a member of Foreign Affairs and International Corporation and Public Account Committees in the House of Parliament. Education, wash, health and sanitation facilities, agriculture, feeder roads rehabilitation and youth empowerment initiatives have been identified as major constituency needs by Honourable Ibrahim Aziz Bangura and the people of constituency 076. He is making sure that Legislative and Oversight engagements are done to ensure the challenges faced by his people are addressed.",/sites/default/files/2023-04/HON%20IBRAHIM%20AZIZ%20BANYURA%20CONST%20076%20PORT%20LOKO%20DISTICT%20ID%20NO%2C.JPG.png
2441,73018476-4a73-454e-a531-dd830b716428,"Sahr Fatorma",Sahr,,Fatorma,SLPP,Kailahun,,,"Constituency 1",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2583,d63e6b0f-6eef-4d0a-a1ef-6055d10fc6ed,"Hassan Jakema",Hassan,,Jakema,PMDC,Pujehun,,,"Constituency 100",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2642,226ce220-2099-4c78-becb-a0c887f1becb,"James Koroma",James,,Koroma,NGC,Tonkolili,,,"Constituency 47",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2677,9d851993-242f-4456-876e-3ba8a1794024,"Hawanatu Bangura",Hawanatu,,Bangura,NPD,Tonkolili,,,"Constituency 50",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png
2753,d23acebe-7f96-4d09-9601-6e3c53745586,"Osman Turay",Osman,,Turay,NPD,Tonkolili,,,"Constituency 52",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
2821,8efb1ac1-1176-4247-84cc-3c2dc2415e04,"Proportional representation",Proportional,,representation,IND,,,,,,Parliamentary,"1996, 2002","This is a placeholder candidate for Proportional representation parliamentary elections held in 1996 and 2002. ",/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
